time,chlorophyll,dust
2022-12-31,0.28416836,0.18375649690609633
2023-01-05,0.35227767,0.27470776303492533
2023-01-10,0.36776665,0.20627922060512527
2023-01-15,0.36801252,0.24839030961492156
2023-01-20,0.40571642,0.21341085716782143
2023-01-25,0.4004397,0.22654186242056296
2023-01-30,0.34444165,0.20574012665395183
2023-02-04,0.41786155,0.2564488152408133
2023-02-09,0.52310836,0.28395906746734695
2023-02-14,0.5591432,0.3750763641795975
2023-02-19,0.6591328,0.4459574731517686
2023-02-24,0.44963717,0.4872262171724156
2023-03-01,0.37187496,0.2125270313621267
2023-03-06,0.24978016,0.1880440189101459
2023-03-11,0.21660215,0.21844021728601692
2023-03-16,0.2579815,0.5244906489283189
2023-03-21,0.21674222,0.3168465669271235
2023-03-26,0.18586396,0.20541332361211193
2023-03-31,0.17657739,0.41196615323601776
2023-04-05,0.27291888,0.5507829475456565
2023-04-10,0.20467274,0.2565146739490956
2023-04-15,0.1884464,0.4628949261340298
2023-04-20,0.21850197,0.5102192541070051
2023-04-25,0.18810642,0.20594135207027417
2023-04-30,0.16046815,0.260589290628853
2023-05-05,0.1697444,0.5248956007803764
2023-05-10,0.19255793,0.41174165369476173
2023-05-15,0.15710671,0.38855281987708457
2023-05-20,0.16246098,0.3640631339203469
2023-05-25,0.17463706,0.3550529271008225
2023-05-30,0.23220961,0.4811489958207967
2023-06-04,0.14957923,0.25246163963738455
2023-06-09,0.15684833,0.2681358903511034
2023-06-14,0.15951855,0.33243068011843396
2023-06-19,0.19195186,0.6114984884810045
2023-06-24,0.21868418,0.7737949388610439
2023-06-29,0.16425353,0.650778097201443
2023-07-04,0.14211749,0.5710153710514899
2023-07-09,0.1409146,0.5793079116675469
2023-07-14,0.13602674,0.6162879933827505
2023-07-19,0.11982636,0.45525921803063224
2023-07-24,0.12613246,0.5564740658793935
2023-07-29,0.15779313,0.5803493178465315
2023-08-03,0.12856394,0.5346617607941199
2023-08-08,0.14052786,0.4122953405892176
2023-08-13,0.1603012,0.5724364410825376
2023-08-18,0.15940249,0.3189847311437104
2023-08-23,0.16417345,0.44739922919418906
2023-08-28,0.18021588,0.8824917614092477
2023-09-02,0.20945641,0.5101172446306323
2023-09-07,0.21926019,0.3937846385487246
2023-09-12,0.25606465,0.36720700459473743
2023-09-17,0.28111705,0.7473952380721114
2023-09-22,0.28529245,0.43169521889448653
2023-09-27,0.21992786,0.40212898658905205
2023-10-02,0.24008295,0.4432128286458323
2023-10-07,0.2860272,0.5499511527364137
2023-10-12,0.247378,0.5182939559811551
2023-10-17,0.22115888,0.2817852069977255
2023-10-22,0.21000516,0.21439908645842312
2023-10-27,0.19729878,0.31906651589471496
2023-11-01,0.2260366,0.3300392233000874
2023-11-06,0.23363543,0.3550461078201725
2023-11-11,0.24615042,0.365241428370096
2023-11-16,0.24249543,0.30613176874694464
2023-11-21,0.26106912,0.2533858598200878
2023-11-26,0.20581421,0.19196899121565278
2023-12-01,0.20015085,0.2400285172079081
2023-12-06,0.21275881,0.16002092965417836
2023-12-11,0.23815447,0.4099796557469375
2023-12-16,0.37323883,0.6142620226185187
2023-12-21,0.38355932,0.3837512839930252
2023-12-26,0.3114747,0.2906101820749571
2023-12-31,0.22222984,0.15265149590738908
2024-01-05,0.21119118,0.17463486104955814
2024-01-10,0.18269682,0.20495169325738463
2024-01-15,0.20687185,0.28831198679465736
2024-01-20,0.19306679,0.2666900120366883
2024-01-25,0.2642632,1.0623999492318765
2024-01-29,0.23089722,0.4387542838145565
